!FREQ  ;Gi;bi ;Gf;bf;Gr ;br ;Go ;bo
50;0,005;0,0044;0,108;-0,08;-0,000001;-0,0001;0,000088;0,00048
60;0,0058;0,0047;0,089;-0,084;-0,000001;-0,00014;0,00011;0,00055
70;0,0062;0,0049;0,076;-0,086;-0,000001;-0,00018;0,00014;0,0006
80;0,007;0,005;0,064;-0,087;-0,000001;-0,0002;0,00016;0,00068
90;0,0078;0,005;0,056;-0,088;-0,000001;-0,00025;0,00017;0,00074
100;0,008;0,005;0,049;-0,089;-0,000001;-0,00027;0,00018;0,00079
110;0,0082;0,005;0,044;-0,087;-0,000001;-0,00028;0,00019;0,00083
120;0,0087;0,005;0,04;-0,085;-0,000001;-0,00032;0,0002;0,00089
130;0,009;0,005;0,035;-0,082;-0,000001;-0,0000335;0,00022;0,00096
140;0,0092;0,005;0,032;-0,079;-0,000001;-0,000358;0,00023;0,00098
150;0,0095;0,005;0,028;-0,077;-0,000001;-0,00038;0,00024;0,001
160;0,0098;0,0048;0,025;-0,075;-0,000001;-0,000397;0,000247;0,00101
170;0,01;0,0047;0,022;-0,072;-0,000001;-0,000411;0,00015;0,00102
180;0,0102;0,0047;0,018;-0,069;-0,000001;-0,000443;0,000257;0,00125
190;0,0108;0,0047;0,016;-0,067;-0,000001;-0,00047;0,000272;0,00134
200;0,011;0,0046;0,014;-0,065;-0,000001;-0,0005;0,000285;0,00146
